ts_code,name,industry,industry_l1,industry_l2,area,close,pct_chg,pe,pb,total_mv,revenue,gross_profit,gpr,net_profit,npm,list_date,ytd_2024,ytd_2025,ytd_2026
603198.SH,迎驾贡酒,白酒Ⅱ,食品饮料,白酒Ⅱ,安徽,37.82,-1.15,-4.40,-0.18,302.56,60.19,43.66,72.54,19.86,33.05,2015-05-28,-38.12,-26.08,-6.38
688608.SH,恒玄科技,半导体,电子,半导体,上海,178.96,-0.08,-21.14,4.24,302.44,35.25,13.64,38.69,5.94,16.85,2020-12-16,53.86,-29.1,-32.34
002152.SZ,广电运通,计算机设备,计算机,计算机设备,广东,12.15,0.91,-10.92,5.01,301.68,120.55,34.38,28.52,8.61,9.2,2007-08-13,-5.99,-1.41,-20.26
300458.SZ,全志科技,半导体,电子,半导体,广东,36.53,-0.52,4.80,5.33,301.37,28.38,9.33,32.88,2.62,9.24,2015-05-15,145.02,46.87,-6.39
600079.SH,ST人福,化学制药,医药生物,化学制药,湖北,18.46,-0.81,1.93,-0.75,301.27,239.62,115.53,48.21,18.55,10.4,1997-06-06,-25.8,-18.86,-4.05
002456.SZ,欧菲光,光学光电子,电子,光学光电子,深圳,8.96,-0.33,-15.63,3.58,301.24,221.5,22.87,10.32,0.42,0.75,2010-08-03,11.24,-18.03,-12.04
002223.SZ,鱼跃医疗,医疗器械,医药生物,医疗器械,江苏,30.0,0.91,-21.49,3.16,300.6,79.55,40.25,50.6,14.82,18.66,2008-04-18,-17.68,-22.4,-30.91
002865.SZ,钧达股份,光伏设备,电力设备,光伏设备,海南,96.53,10.01,76.76,32.47,300.21,76.27,,,,,2017-04-25,-3.09,43.95,42.45
600745.SH,闻泰科技,半导体,电子,半导体,湖北,24.1,-5.01,-35.35,-13.31,300.05,312.53,56.86,18.19,,,1996-08-28,-61.26,-56.93,-57.78
000636.SZ,风华高科,元件,电子,元件,广东,25.87,2.86,58.91,5.85,299.32,57.56,10.22,17.75,2.83,4.96,1996-11-29,306.21,302.38,225.74
